################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   4.2896271266897967E-01   1.3004569909035021E-01   6.1621108199234442E-02
         1          2   0.0000000000000000E+00   2.5951472589270796E-01   5.9455652328686000E-02   3.2176062811063888E-02
         1          3   0.0000000000000000E+00   6.1491041104322330E-01   3.3628141381243704E-02   4.8399739128543041E-02
         1          4   0.0000000000000000E+00   1.1649853675196087E-01   1.4833639118757026E-02   1.1298320136494551E-02
         1          5   0.0000000000000000E+00   3.2845652731570996E-01   5.7805657052510907E-03   1.4444558256286207E-02
         1          6   0.0000000000000000E+00   7.3652548539102025E-02   4.4111967411130902E-03   4.6227594904719562E-03
         1          7   0.0000000000000000E+00   3.3059461477607904E-01   7.9420166444504059E-02   4.9783349643958370E-02
         1          8   0.0000000000000000E+00   1.6837580460484750E-01   4.5366935188909524E-02   2.6892656095901728E-02
         1          9   0.0000000000000000E+00   2.3839304843209619E-01   1.6667620347379319E-03   6.0777132446779352E-03
         1         10   0.0000000000000000E+00   3.6789058583286169E-02   7.6057372958942616E-04   1.2509034724856908E-03
         1         11   0.0000000000000000E+00   6.7383528118881308E-01   1.1940481455412515E-01   9.0531406287022206E-02
         1         12   0.0000000000000000E+00   3.2879641121833098E-01   9.3450191365471197E-02   5.1235943791945772E-02
         1         13   0.0000000000000000E+00   8.9956650260550097E-01   9.7847911433382589E-02   1.0556356055456274E-01
         1         14   0.0000000000000000E+00   4.5679832070858428E-01   1.1993225952921106E-01   6.1433360063656912E-02
         1         15   0.0000000000000000E+00   1.0106788115438137E+00   5.2518965388897117E-02   8.8884629886115452E-02
         1         16   0.0000000000000000E+00   3.9480104871122068E-01   6.9904459682824591E-02   5.6135456327664562E-02
         1         17   0.0000000000000000E+00   8.2771407352767490E-01   2.0145609731852344E-02   5.7064748116686166E-02
         1         18   0.0000000000000000E+00   2.7192285629178936E-01   1.0996974054321025E-02   2.3231720431050106E-02
         1         19   8.1798025702972105E-05   3.4072940633055233E+00   1.2723668587848731E+00   6.4046947838380353E-01
         1         20   2.0202567341893023E-04   1.6921236210967441E+00   5.9941347190864380E-01   3.1288327864762261E-01
         1         21   6.8925453221554147E-20   4.0986343631291661E-01   1.1251089742998630E-02   2.3427234966954247E-02
         1         22   4.5561915635822286E-19   1.0568976681408518E-01   9.9181864841739117E-03   8.5520595198208850E-03
         1         23   4.8887722431348130E-09   3.1764015024660548E+00   1.0689921656906058E+00   5.7146033068282676E-01
         1         24   2.1810211275207330E-08   1.6138539503769636E+00   4.9773751574612363E-01   2.7750618174307601E-01
         1         25   6.4270552079488350E-30   2.9202645029028584E-01   2.8442510357031638E-03   9.0781492960346783E-03
         1         26   1.0340103534047932E-28   5.2694814418720183E-02   1.6009855233336766E-03   2.2271157448510216E-03
         1         27   2.3937807035880177E-17   2.8572566768297953E+00   6.7220880245071601E-01   4.2899239590315580E-01
         1         28   2.9376861383043516E-16   1.4399275683473913E+00   4.0406555366805991E-01   2.3353445545230242E-01
         1         29   1.2229258057531724E-32   2.4120967995780624E+00   3.0745719535418614E-01   2.9206832918175829E-01
         1         30   8.8683836220931209E-31   1.1939836288094929E+00   3.2988735132485886E-01   1.6848560269776749E-01
         1         31   1.2785536679510269E-59   1.8388519039814262E+00   1.1406895849786423E-01   1.7848446918502175E-01
         1         32   1.8565039623226020E-56   7.9178090074549679E-01   1.5863106995101406E-01   1.1312473106894239E-01
         1         33  8.5252673641194073E-106   1.3345403349707614E+00   3.5109021137020059E-02   9.4149291233568258E-02
         1         34  1.6945577841655084E-100   4.5989957141621579E-01   2.2065764800206684E-02   4.1848157750533681E-02
         1         35   1.4310943121992088E-09   4.7392357559481733E+00   1.5458225442690663E+00   8.3812229259721405E-01
         1         36   6.6767510144285958E-09   2.4667952909832080E+00   7.2726232196293994E-01   4.1200541564051840E-01
         1         37   3.0339332497334706E-19   3.6753049252313805E+00   7.9028787771218478E-01   5.3369337901596148E-01
         1         38   4.4921227939645936E-18   1.8590060329707567E+00   5.1854796056449115E-01   2.9632396223295893E-01
         1         39   8.1321109353593821E-37   2.7651152906092706E+00   3.1105331551492016E-01   3.2587891100805633E-01
         1         40   9.0450398936809581E-35   1.3942422273696613E+00   3.7166213778060847E-01   1.8990752286371695E-01
         1         41   1.5021594091176005E-67   2.1449605046280591E+00   1.0442303168458185E-01   1.8263732416041562E-01
         1         42   4.8931692589466537E-64   8.1095057785180658E-01   1.3637862757630478E-01   1.1567061451677799E-01
         1         43  6.5050797964697525E-120   1.3048198781625628E+00   2.8911820165769694E-02   8.8464754131348813E-02
         1         44  5.3453393143071407E-114   4.0307768954448187E-01   1.2738315109465876E-02   3.1777334251162796E-02
         1         45   0.0000000000000000E+00   3.6856255918694303E-03   3.0135606673445776E-05   8.9495026370823801E-05
         1         46   0.0000000000000000E+00   2.3797994838150611E-02   5.7931807494919500E-05   3.0795620284103468E-04
         1         47   0.0000000000000000E+00   5.5526937169365501E-03   5.6010452599563805E-05   1.4785812131249180E-04
         1         48   0.0000000000000000E+00   1.3243792868859331E-03   7.9539107904910713E-06   2.7429466548026918E-05
         1         49   0.0000000000000000E+00   1.2991804163804555E-03   6.9532705397984954E-06   2.6614222537807649E-05
         1         50   0.0000000000000000E+00   1.1181751373821583E-03   1.3543861426455285E-06   1.0307482153742975E-05
         1         51   0.0000000000000000E+00   2.4687776629073833E-02   1.5409470431895973E-04   5.0669171943413887E-04
         1         52   0.0000000000000000E+00   4.6667615952124389E-02   6.2212361979423420E-04   1.7290323220113864E-03
         1         53   0.0000000000000000E+00   1.2356751890583168E-03   6.3547076669919747E-06   2.4671966947925986E-05
         1         54   0.0000000000000000E+00   1.0561178091851981E-03   1.2476631214240265E-06   9.5738866867983439E-06
         1         55   0.0000000000000000E+00   2.3767343006660126E-03   1.7260582166089923E-05   5.1176010154391812E-05
         1         56   0.0000000000000000E+00   2.7556683755141560E-03   1.6728528139129794E-05   5.3719827690718662E-05
         1         57   0.0000000000000000E+00   2.1001248027339516E-02   3.9450287974618080E-05   2.2607229310082138E-04
         1         58   0.0000000000000000E+00   4.4513916655970816E-03   3.5910256658984857E-05   1.0097106061517406E-04
         1         59   0.0000000000000000E+00   9.1908972942957609E-04   4.5560475633448355E-06   1.6779514925882976E-05
         1         60   0.0000000000000000E+00   9.3278756452167097E-04   3.8413048901871533E-06   1.6192999911204637E-05
         1         61   0.0000000000000000E+00   7.6480883183351034E-04   7.8577712472630628E-07   6.3229758478476432E-06
         1         62   0.0000000000000000E+00   2.1931660698352232E-02   1.0467291680069878E-04   3.6956705541061626E-04
         1         63   0.0000000000000000E+00   3.5548166172831648E-03   1.2624371019841909E-04   1.6482410846702027E-04
         1         64   0.0000000000000000E+00   1.9503357083595366E-02   6.2403991350469087E-05   2.9944419499576753E-04
         1         65   0.0000000000000000E+00   4.8350372526300015E-03   6.4040038510045701E-05   1.2852473653187187E-04
         1         66   0.0000000000000000E+00   4.5454456220823941E-04   1.2382942895905662E-06   5.2221691223891136E-06
         1         67   0.0000000000000000E+00   2.4285278143343875E-02   1.7176392429725520E-04   7.0073131449848293E-04
         1         68   0.0000000000000000E+00   7.2098905013967161E-04   1.1588513140982823E-06   5.7929203935730345E-06
         1         69   0.0000000000000000E+00   1.1806103027049829E-02   7.4373265851495912E-06   6.0459513746418296E-05
         1         70   0.0000000000000000E+00   1.8436279738406000E-03   4.8767970240805222E-06   1.8551140827301727E-05
         1         71   0.0000000000000000E+00   1.4004956566216647E-02   8.8532048364541632E-05   3.6354415627805244E-04
         1         72   0.0000000000000000E+00   3.4030025526973367E-03   9.8150316525414088E-05   1.5324752677828629E-04
         1         73   0.0000000000000000E+00   1.2570644121664806E-02   1.9665074815756969E-05   9.7826288783741530E-05
         1         74   0.0000000000000000E+00   1.0715481204818754E-03   1.5502174213813235E-05   2.6100747811622082E-05
         1         75   5.0342668219566216E-21   3.4320279086067100E-02   2.8899640712581184E-03   3.4200292206024276E-03
         1         76   2.6304157780630767E-21   3.1759768486811446E-02   2.4862633488400899E-03   3.0461170601194364E-03
         1         77   6.7165047765175255E-23   2.1292424005954484E-02   1.1299223576358899E-03   1.6547703154744303E-03
         1         78   1.0026387131129260E-17   3.8024188927145042E-02   2.5842536090508512E-04   8.4193678556968303E-04
         1         79   3.0834848180386183E-28   1.9377697992847262E-02   4.4143724761544434E-05   2.3415235582281092E-04
         1         80   2.1987975532854161E-23   7.2493811102261278E-03   4.9194182402432063E-05   1.5197849336030030E-04
         1         81   1.3332779639655711E-31   3.1873026950004525E-03   3.1634043010855595E-05   8.6078812377925887E-05
         1         82   1.1509720295508398E-14   3.8683180560652591E-02   6.6161647304615343E-04   1.4364954834550972E-03
         1         83   1.7519387738604415E-20   1.2139607713957136E-03   7.8439883509250676E-06   2.0928623222372943E-05
         1         84   1.3872806372779513E-50   3.6145965640503905E-03   2.0052826498860051E-06   2.4822331728313090E-05
         2          1   0.0000000000000000E+00   9.1178294844875418E-01   2.6009139818069715E-01   1.1724786169602246E-01
         2          2   0.0000000000000000E+00   4.8913111295990830E-01   1.1891130465737171E-01   5.8470966660707883E-02
         2          3   0.0000000000000000E+00   1.0483566891349856E-01   1.7590759302130888E-03   4.5075497939325773E-03
         2          4   0.0000000000000000E+00   3.1594901426637473E-01   6.7914780734810748E-02   3.6706023665335444E-02
         2          5   0.0000000000000000E+00   6.3771239997833448E-02   5.9651723439661309E-04   1.9970992386831865E-03
         2          6   0.0000000000000000E+00   1.9236113695344614E-01   2.9667278237513757E-02   1.8936824599895454E-02
         2          7   0.0000000000000000E+00   3.0078456023354457E-02   1.3157452866208476E-04   6.4945702956910550E-04
         2          8   0.0000000000000000E+00   9.9236423669058604E-02   8.8223934822263365E-03   7.3584866287385890E-03
         2          9   0.0000000000000000E+00   9.5821283578721352E-03   1.7219538794713827E-05   1.3612618733141362E-04
         2         10   0.0000000000000000E+00   3.3886508919893477E-01   9.0733870377822351E-02   5.1503437494574519E-02
         2         11   0.0000000000000000E+00   1.5233355776011917E-01   1.1817308511932656E-02   1.8662096232692622E-02
         2         12   0.0000000000000000E+00   3.8904408699175469E-02   1.5211474591788413E-03   1.9001515597424842E-03
         2         13   0.0000000000000000E+00   7.1879287701181105E-01   1.8690038273094631E-01   9.5195244655816511E-02
         2         14   0.0000000000000000E+00   2.2582598986349750E-01   7.6337138369369844E-03   1.7300620348941313E-02
         2         15   0.0000000000000000E+00   8.0375507311359784E-01   2.3986451905843367E-01   1.1156650696658693E-01
         2         16   0.0000000000000000E+00   2.3429897168830796E-01   1.9758287477086652E-03   9.5617855034501788E-03
         2         17   0.0000000000000000E+00   7.3807765917169044E-01   1.3980891936564566E-01   9.3324914279473245E-02
         2         18   0.0000000000000000E+00   1.5860235093666294E-01   2.1210689697032350E-04   2.4589310752704970E-03
         2         19   0.0000000000000000E+00   5.3763530215018041E-01   2.1993948108642851E-02   3.4840687140272449E-02
         2         20   1.2445487445778369E-02   2.8255586306850975E+00   1.1383074261206714E+00   5.8500387185329594E-01
         2         21   3.7375746568149641E-04   1.2549227601173161E+00   6.0343410366201766E-01   2.6073536698317334E-01
         2         22   2.2222914745791636E-16   6.7483381413341620E-02   8.5376665047640153E-04   2.2402968521574754E-03
         2         23   4.3875561764007030E-03   3.1869252423881531E+00   1.1988269438173316E+00   6.2211418034859367E-01
         2         24   8.4805583825526797E-07   1.7225723362106167E+00   7.6845621401566855E-01   4.5185255733210622E-01
         2         25   3.1441154660050099E-15   1.6036421269354459E-01   1.9836372968347601E-02   1.4016172665598304E-02
         2         26   5.1810142599267940E-24   2.0722176702305767E-02   6.9171506195387709E-05   3.8017485971736392E-04
         2         27   1.3647132500835416E-05   3.3688233891059851E+00   9.9547503149225647E-01   5.4769221934234025E-01
         2         28   2.1860726429253356E-12   1.7441684583849044E+00   4.7342330614150246E-01   4.2155583644544825E-01
         2         29   5.6450274246860689E-23   6.0435628349769836E-02   3.2019710466674122E-03   3.4323238013298073E-03
         2         30   2.8826794185571272E-11   2.9983827531483698E+00   8.0813110733611038E-01   4.4668579023190452E-01
         2         31   4.3509190744725669E-23   1.2317530270882489E+00   9.6953692821182352E-02   1.4548930262499180E-01
         2         32   2.8480473121598695E-22   2.2787626385793205E+00   6.5977470264966143E-01   3.0745084008409851E-01
         2         33   2.0352297710260887E-42   7.1607202969332040E-01   9.2903068646635195E-03   3.3747128883642778E-02
         2         34   4.2451385093493774E-42   1.4089514553210223E+00   3.1726213990202828E-01   1.9214865959752880E-01
         2         35   4.4669623729985376E-76   3.4273122452516619E-01   6.4731783312741960E-04   6.4494429643208329E-03
         2         36   1.8448169421870798E-76   8.7736854284453225E-01   4.4131529600414617E-02   6.3172134562551788E-02
         2         37   5.8211907144126206E-03   3.7569169142320540E+00   1.7890072258599148E+00   7.5912613002596774E-01
         2         38   1.9480421943640401E-16   6.3888187028327853E-02   6.9326460219542262E-04   1.9734800645871218E-03
