################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.2073314628221015E+00 a         1     0     1     1     1
  3.6526852036613269E+00 a         2     0     1     1     2
 -8.5421327036417383E-01 a         3     0     1     1     3
  3.3284484952778808E+00 a         4     0     1     1     4
 -1.8856450001756841E+00 a         5     0     1     1     5
 -3.1143716433244797E+00 a         6     0     1     1     6
 -6.7719676401173945E-01 a         7     0     1     1     7
  1.7866843148140072E+00 a         8     0     1     1     8
 -1.5452351497484373E+00 a         9     0     1     1     9
  7.5344670955384863E-01 a        10     0     1     1    10
  1.6370800343090657E+00 a        11     0     1     1    11
  1.0502587070450131E+00 a        12     0     1     1    12
 -9.1097462809933960E-01 a        13     0     1     1    13
  2.3503972207162221E-01 a        14     0     1     1    14
 -3.4898057408079755E+00 a        15     0     1     1    15
  1.5812773338596511E+00 a        16     0     1     1    16
 -2.4647009709404659E+00 a        17     0     1     1    17
 -2.2273965400950031E+00 a        18     0     1     1    18
 -4.5391381719160429E-01 a        19     0     1     1    19
  1.4655614018066887E+00 a        20     0     1     1    20
  4.2338862932418841E-01 a        21     0     2     1     1
  3.6676785155899627E-01 a        22     0     2     1     2
 -2.4573446466117740E-01 a        23     0     2     1     3
  2.6398466771785983E-01 a        24     0     2     1     4
 -1.3047538097149372E+00 a        25     0     2     1     5
  6.3434088391973320E-01 a        26     0     2     1     6
 -5.0340364521517045E-01 a        27     0     2     1     7
 -6.8248559556005328E-01 a        28     0     2     1     8
  2.1168716181006519E-01 a        29     0     2     1     9
 -1.1532741267630533E+00 a        30     0     2     1    10
 -5.6667583065354155E-01 a        31     0     2     1    11
  2.2326716104491962E-01 a        32     0     2     1    12
  2.3120053636514942E-01 a        33     0     2     1    13
 -2.7518369358387462E-01 a        34     0     2     1    14
  3.4412328573677248E-01 a        35     0     2     1    15
 -7.8497233081851669E-01 a        36     0     2     1    16
  9.6702138875688481E-01 a        37     0     2     1    17
  2.3312144471568222E-01 a        38     0     2     1    18
  4.4046679206536560E-01 a        39     0     2     1    19
 -1.2144914862381273E+00 a        40     0     2     1    20
 -3.4543158045741496E-01 a        41     0     3     1     1
  1.3678900728666643E+00 a        42     0     3     1     2
 -5.6581812999513603E-01 a        43     0     3     1     3
 -2.1622968335088233E+00 a        44     0     3     1     4
  1.1112580646140759E-01 a        45     0     3     1     5
  1.6935934754441244E+00 a        46     0     3     1     6
  3.9160412825847679E-01 a        47     0     3     1     7
 -1.8587524626998448E+00 a        48     0     3     1     8
 -1.4304126575811988E+00 a        49     0     3     1     9
 -1.7314001681976834E+00 a        50     0     3     1    10
 -3.4448484592977908E+00 a        51     0     3     1    11
 -1.0326215329040340E+00 a        52     0     3     1    12
 -1.8452744442971965E-02 a        53     0     3     1    13
  4.5206990104368336E-02 a        54     0     3     1    14
  9.6404986934295966E-01 a        55     0     3     1    15
  3.8613970169773121E-01 a        56     0     3     1    16
 -1.9318798980378210E-01 a        57     0     3     1    17
 -5.6687471315266558E-01 a        58     0     3     1    18
  1.3361493283734571E+00 a        59     0     3     1    19
 -2.3440181516841290E+00 a        60     0     3     1    20
 -1.7640171183091619E-01 a        61     0     4     1     1
  5.7997534001069873E-01 a        62     0     4     1     2
 -6.3320753586226394E-02 a        63     0     4     1     3
  2.4276594627105041E-01 a        64     0     4     1     4
 -8.4274455780464974E-01 a        65     0     4     1     5
  6.0286403007445755E-01 a        66     0     4     1     6
 -4.9186834688354247E-01 a        67     0     4     1     7
 -4.9126202033038746E-01 a        68     0     4     1     8
  2.6429425664448736E-01 a        69     0     4     1     9
 -6.9304578910998160E-01 a        70     0     4     1    10
 -1.7363681734606778E-01 a        71     0     4     1    11
  6.3890923368445995E-01 a        72     0     4     1    12
 -8.6422426828850901E-02 a        73     0     4     1    13
  1.3920080593033679E-01 a        74     0     4     1    14
  1.4736917240099029E-01 a        75     0     4     1    15
 -3.0544743447513223E-01 a        76     0     4     1    16
  2.6956628290200779E-01 a        77     0     4     1    17
  3.5751289800651459E-01 a        78     0     4     1    18
  3.4837520538199579E-01 a        79     0     4     1    19
 -9.9177841310862469E-01 a        80     0     4     1    20
  5.3021791655032768E-01 a        81     0     5     1     1
  7.9036224438184965E-01 a        82     0     5     1     2
 -2.9324957102214938E-01 a        83     0     5     1     3
 -1.2395622874796225E-01 a        84     0     5     1     4
  5.8862280620003082E-01 a        85     0     5     1     5
 -4.8666378211365974E-01 a        86     0     5     1     6
 -1.7151560705404253E-01 a        87     0     5     1     7
 -7.6552329882306180E-01 a        88     0     5     1     8
 -6.1139868132832353E-01 a        89     0     5     1     9
  1.1171639896822698E+00 a        90     0     5     1    10
  1.1749755260671411E+00 a        91     0     5     1    11
  1.4927860545745217E+00 a        92     0     5     1    12
  3.6478719209285532E-01 a        93     0     5     1    13
 -5.0229995867378308E-02 a        94     0     5     1    14
 -2.2637398190224281E-01 a        95     0     5     1    15
 -3.1332322427992942E-01 a        96     0     5     1    16
 -2.9107443407951528E-01 a        97     0     5     1    17
 -2.0566443460447012E-01 a        98     0     5     1    18
 -1.5257137537037946E+00 a        99     0     5     1    19
 -1.3179564659916367E+00 a       100     0     5     1    20
 -5.6336931925757383E-01 a       101     0     6     1     1
  4.4028918650299637E-01 a       102     0     6     1     2
  8.6586133432458037E-02 a       103     0     6     1     3
 -6.4759322091414206E-01 a       104     0     6     1     4
 -1.5961657447044406E-01 a       105     0     6     1     5
  5.9845060734083699E-01 a       106     0     6     1     6
 -1.2996466776454669E-03 a       107     0     6     1     7
 -6.7260824319317813E-01 a       108     0     6     1     8
 -1.7453791354911933E-02 a       109     0     6     1     9
 -3.5189261725485788E-01 a       110     0     6     1    10
 -6.7358812272308610E-02 a       111     0     6     1    11
  8.7646139170547754E-01 a       112     0     6     1    12
  2.5647758454720110E-01 a       113     0     6     1    13
  1.8540254095507908E-01 a       114     0     6     1    14
 -4.3697078436553696E-02 a       115     0     6     1    15
 -3.6071784359242814E-01 a       116     0     6     1    16
  4.1427962240528482E-01 a       117     0     6     1    17
 -1.3009684374955641E-01 a       118     0     6     1    18
 -4.6098067816928580E-02 a       119     0     6     1    19
 -4.0697013832134571E-01 a       120     0     6     1    20
 -4.1162418835783610E-01 a       121     0     7     1     1
  1.2472603843788486E+00 a       122     0     7     1     2
  7.7095147306725031E-01 a       123     0     7     1     3
  3.9110335144469138E-01 a       124     0     7     1     4
 -9.4344246440988422E-01 a       125     0     7     1     5
  6.0235497068811961E-01 a       126     0     7     1     6
 -6.1212343181380657E-01 a       127     0     7     1     7
 -2.2403071486301980E+00 a       128     0     7     1     8
  4.4173199061555235E-01 a       129     0     7     1     9
  6.4375655283525390E-01 a       130     0     7     1    10
 -7.1801746249543319E-01 a       131     0     7     1    11
 -1.6119335502969940E+00 a       132     0     7     1    12
  1.0278598666425403E+00 a       133     0     7     1    13
 -3.1764747101258352E-02 a       134     0     7     1    14
  1.8938959832432423E-01 a       135     0     7     1    15
 -9.8334090377458827E-01 a       136     0     7     1    16
 -6.0271323340959160E-01 a       137     0     7     1    17
 -8.6982149397048480E-01 a       138     0     7     1    18
 -4.2421317223152416E-01 a       139     0     7     1    19
 -9.7382072916301121E-01 a       140     0     7     1    20
  1.7432107520495770E+00 a       141     0     8     1     1
 -1.9365307870240476E+00 a       142     0     8     1     2
 -1.1975945098240790E+00 a       143     0     8     1     3
  2.0034335937341070E+00 a       144     0     8     1     4
 -6.5754869022999207E-01 a       145     0     8     1     5
 -1.7725301331365265E-01 a       146     0     8     1     6
 -1.5905650555369064E-01 a       147     0     8     1     7
 -2.6005129235332697E-01 a       148     0     8     1     8
  6.7787252909236606E-01 a       149     0     8     1     9
  2.7582511373532146E+00 a       150     0     8     1    10
  3.0788592476183635E-01 a       151     0     8     1    11
 -1.5441765171630235E+00 a       152     0     8     1    12
  1.4184279046307330E-01 a       153     0     8     1    13
  1.1689807967305480E-02 a       154     0     8     1    14
  9.5774207921029886E-01 a       155     0     8     1    15
  1.4772636080790724E-01 a       156     0     8     1    16
  8.2106373544005917E-01 a       157     0     8     1    17
 -2.7718377058192445E+00 a       158     0     8     1    18
  2.0469443034737980E+00 a       159     0     8     1    19
  2.6152402357187471E-01 a       160     0     8     1    20
 -1.1681062805075497E+00 a       161     0     9     1     1
 -9.8161895153144096E-01 a       162     0     9     1     2
  1.0591826249368332E+00 a       163     0     9     1     3
  7.2734854256748960E-01 a       164     0     9     1     4
 -4.0693373198297222E-01 a       165     0     9     1     5
  1.3269802859752244E+00 a       166     0     9     1     6
 -6.4152159492349270E-01 a       167     0     9     1     7
  6.3988923502935646E-01 a       168     0     9     1     8
  9.2975843358126187E-01 a       169     0     9     1     9
 -3.0271096142179452E+00 a       170     0     9     1    10
 -2.7282180165816912E+00 a       171     0     9     1    11
 -2.4430896292862587E+00 a       172     0     9     1    12
  5.5633964694885178E-02 a       173     0     9     1    13
 -9.2651153567723832E-01 a       174     0     9     1    14
 -3.1826632119294634E-01 a       175     0     9     1    15
 -1.5124002188788168E+00 a       176     0     9     1    16
  9.3786903275215994E-01 a       177     0     9     1    17
  2.2494927835077588E-01 a       178     0     9     1    18
  4.0258395866800605E+00 a       179     0     9     1    19
  1.1142288203605422E+00 a       180     0     9     1    20
 -2.1708455671470420E-01 a       181     0    10     1     1
  2.1339491188879672E-01 a       182     0    10     1     2
  9.0164550666735094E-02 a       183     0    10     1     3
 -1.2249573278255235E+00 a       184     0    10     1     4
  6.6178404228862586E-01 a       185     0    10     1     5
  1.5072194119777516E+00 a       186     0    10     1     6
  1.2869536312856544E-01 a       187     0    10     1     7
 -2.6068880640334557E-01 a       188     0    10     1     8
 -3.2930067786658718E-01 a       189     0    10     1     9
  8.6179553068134040E-01 a       190     0    10     1    10
  4.7671231669853889E-02 a       191     0    10     1    11
  6.1826172640878152E-01 a       192     0    10     1    12
  2.0846170637655578E-02 a       193     0    10     1    13
 -1.3148865202924562E-01 a       194     0    10     1    14
 -1.2782862716129911E-01 a       195     0    10     1    15
 -3.3766512042598168E-01 a       196     0    10     1    16
  5.7055207336050495E-01 a       197     0    10     1    17
 -1.4760025667041377E+00 a       198     0    10     1    18
  2.9463356948693492E-01 a       199     0    10     1    19
  9.0103379197543487E-01 a       200     0    10     1    20
 -2.6803158709351789E+00 a       201     0    11     1     1
  5.6802551298317172E-01 a       202     0    11     1     2
  1.5267309517821853E-01 a       203     0    11     1     3
 -4.0910458043959164E-01 a       204     0    11     1     4
 -1.5804630481860737E-01 a       205     0    11     1     5
  1.6092667655613049E-01 a       206     0    11     1     6
  5.7653709647534579E-01 a       207     0    11     1     7
 -4.7396553366938077E-01 a       208     0    11     1     8
 -2.9297053730199588E-02 a       209     0    11     1     9
  1.4103569918251652E-01 a       210     0    11     1    10
 -1.1860719121089309E+00 a       211     0    11     1    11
 -9.5638884107756150E-01 a       212     0    11     1    12
 -1.1635178954477046E+00 a       213     0    11     1    13
 -6.7319815157915974E-01 a       214     0    11     1    14
  1.0362398400525448E+00 a       215     0    11     1    15
 -6.4185966488550605E-01 a       216     0    11     1    16
  5.2960995024184299E-01 a       217     0    11     1    17
 -1.5132883529417135E-01 a       218     0    11     1    18
 -1.2586201444803449E-01 a       219     0    11     1    19
 -1.0169519498238815E+00 a       220     0    11     1    20
  1.3624499176541029E+00 a       221     0    12     1     1
 -7.4015806099099757E-01 a       222     0    12     1     2
 -2.2590484222206617E-01 a       223     0    12     1     3
  8.6388730511455381E-01 a       224     0    12     1     4
 -1.3995060470415632E+00 a       225     0    12     1     5
  1.9851861251868505E-01 a       226     0    12     1     6
  4.9709766554877671E-01 a       227     0    12     1     7
 -1.7038510963187370E-01 a       228     0    12     1     8
  5.1457294851234225E-01 a       229     0    12     1     9
  1.2653342236975449E+00 a       230     0    12     1    10
  2.1579064782011864E-01 a       231     0    12     1    11
 -5.9957995163374056E-01 a       232     0    12     1    12
  1.5359189202365859E-02 a       233     0    12     1    13
 -8.4644683885417138E-01 a       234     0    12     1    14
