# P[GPa] T[K]
1.652695157050684216e+01 8.899955720065722744e+02
1.741395695907315400e+01 8.919911805478271845e+02
1.840717805735164347e+01 8.979812541198027702e+02
1.945704843714518262e+01 9.056003689997580750e+02
2.056679914247986218e+01 9.247529142021935513e+02
2.091119892004793712e+01 9.323335349417315001e+02
2.137638665858676390e+01 9.794497897357692864e+02
2.173984550295819318e+01 1.002815969046924010e+03
2.224906162382502117e+01 1.080945806150441740e+03
2.229810138566416100e+01 1.028947103863853499e+03
2.297979764465695141e+01 1.102978059363760849e+03
2.429047160052381571e+01 1.122512357822269678e+03
2.546715295467513585e+01 1.135572306337752707e+03
2.567590105446561566e+01 1.143054650888404467e+03
2.714034975527161464e+01 1.183239429316555515e+03
2.753564008409043851e+01 1.192959402390033574e+03
2.868832463857626180e+01 1.217953481933987860e+03
3.014433629399943015e+01 1.253246603327695766e+03
3.032458969724521580e+01 1.258839200703917868e+03
3.122870717119131712e+01 1.316580468376152339e+03
3.205418064287171376e+01 1.346230720603003874e+03
3.388242040350476714e+01 1.378155994921932461e+03
3.442631431735875225e+01 1.383114963253827455e+03
3.581493550530468895e+01 1.423651769767965789e+03
3.629450562020096527e+01 1.453011834465467018e+03
3.785767338854137876e+01 1.508517248283843628e+03
3.863647800435855117e+01 1.526441002510683575e+03
4.001692071122665340e+01 1.569206807116389200e+03
4.090958904079404590e+01 1.603580974963627796e+03
4.229932269671103029e+01 1.659794055226652745e+03
4.316100639044211107e+01 1.684619280427969670e+03
4.471190358478851579e+01 1.737553666425683787e+03
4.569200175230055549e+01 1.769752924422181422e+03
4.726208824924914609e+01 1.796279982405254486e+03
4.995772504840846295e+01 1.833460769733271263e+03
5.135664078405675070e+01 1.859188868303338040e+03
5.237711721855867353e+01 1.953144532393759619e+03
5.280710997893810088e+01 1.970286891828312264e+03
5.487865599317365195e+01 2.051848324533553296e+03
5.581901220733237068e+01 2.076561610901231234e+03
5.900270105758541206e+01 2.134768245357410251e+03
6.036915596704576359e+01 2.155540195344018230e+03
6.236797453813567671e+01 2.264196141371152407e+03
6.237258040686079852e+01 2.264472221551750863e+03
6.592518949587083910e+01 2.334497638502844893e+03
6.821145112327367599e+01 2.378909218791503008e+03
6.968529348999439321e+01 2.424814368692102107e+03
7.165366028722939973e+01 2.499129385377563722e+03
7.365985848384720214e+01 2.555718487118607300e+03
7.645228578346930703e+01 2.625424978608667971e+03
7.786111645837350181e+01 2.662331197101342241e+03
8.190959980928013806e+01 2.758103025250517476e+03
8.230199705683408240e+01 2.840187409470310740e+03
8.268280250852038193e+01 2.897486067923150131e+03
8.699616737661952470e+01 2.983844302165373847e+03
8.921247466695331241e+01 3.043912949207618567e+03
9.195807403062705987e+01 3.091414713616004065e+03
9.720298760764649160e+01 3.154220468245083794e+03
1.008886756186060438e+02 3.197739635378143248e+03
1.027470496685852055e+02 3.225562638702652293e+03
1.086073224231664796e+02 3.329105286085336957e+03
1.103516884579356088e+02 3.359340081762270529e+03
1.148018412399836166e+02 3.498874909654580733e+03
1.156365192650688556e+02 3.529107141832706930e+03
1.213496701515142888e+02 3.620222034564026217e+03
1.282709605249133347e+02 3.707045968370203354e+03
1.283049702758966362e+02 3.707453522240922211e+03
1.355870130791498411e+02 3.847235900305639916e+03
1.381399753199751785e+02 3.894812786114095616e+03
1.433203434393473970e+02 3.979318386336626645e+03
1.487011400510915564e+02 4.091640407054595926e+03
1.514947514300776277e+02 4.153779690284179196e+03
1.595744856541236629e+02 4.298414876404143797e+03
1.601353943208602004e+02 4.304070226873634056e+03
1.692688642492876454e+02 4.403748256501177821e+03
1.789232700600492478e+02 4.506196397171140234e+03
1.797989784177055128e+02 4.515638866464531020e+03
1.891283238117199801e+02 4.667245956223760004e+03
1.931514112294312042e+02 4.743840452502620792e+03
1.999154322175423601e+02 4.819429446605518024e+03
2.113177933016191901e+02 4.923814284241088899e+03
2.167477157936818628e+02 4.983574396510487531e+03
