# P[GPa] T[K]
2.056679914247986218e+01 8.926401052562788436e+02
2.173984550295818963e+01 8.965835618141138639e+02
2.297979764465695496e+01 9.042572533906318313e+02
2.429047160052381926e+01 9.202848079050070282e+02
2.521910148002569940e+01 9.323335349417313864e+02
2.567590105446561566e+01 9.509523971132618954e+02
2.638424871403384842e+01 9.794497897357692864e+02
2.698695654403897493e+01 1.028947103863853499e+03
2.714034975527161464e+01 1.034278811788658231e+03
2.835101097964088979e+01 1.080945806150441740e+03
2.868832463857626180e+01 1.102066012913344366e+03
2.939479116212513077e+01 1.135572306337752707e+03
3.028595340237943745e+01 1.192959402390033802e+03
3.032458969724521580e+01 1.194517659716256048e+03
3.181323500258454828e+01 1.253246603327695766e+03
3.205418064287170665e+01 1.265572012036553133e+03
3.294063274836388189e+01 1.316580468376152339e+03
3.388242040350476714e+01 1.350712579756997457e+03
3.486802152511374686e+01 1.383114963253827682e+03
3.581493550530468895e+01 1.402743494685356382e+03
3.785767338854137165e+01 1.443363195405448778e+03
3.817732473962006168e+01 1.453011834465467018e+03
4.001692071122665340e+01 1.499287861386972054e+03
4.093104184175363969e+01 1.526441002510683575e+03
4.229932269671103029e+01 1.581034620135646946e+03
4.282190064631004134e+01 1.603580974963627796e+03
4.471190358478851579e+01 1.682501970821484520e+03
4.476671848027424261e+01 1.684619280427969670e+03
4.716071043405801788e+01 1.769752924422181422e+03
4.726208824924913898e+01 1.773028834579810336e+03
4.995772504840846295e+01 1.852505809556328586e+03
5.013861986311417951e+01 1.859188868303338040e+03
5.254450758349619122e+01 1.953144532393759391e+03
5.280710997893810088e+01 1.962197193730879690e+03
5.565584780772722695e+01 2.051848324533553296e+03
5.581901220733237068e+01 2.056987297647096966e+03
5.900270105758540495e+01 2.145055966473991703e+03
5.943044148794361092e+01 2.155540195344018230e+03
6.236797453813567671e+01 2.264334536689250854e+03
6.237253115774936418e+01 2.264472221551750863e+03
6.592518949587083910e+01 2.336859658000435047e+03
6.766735117673266586e+01 2.378909218791503008e+03
6.968529348999439321e+01 2.424233476478286775e+03
7.205775847106511378e+01 2.499129385377563722e+03
7.365985848384721635e+01 2.558983266445382014e+03
7.580050323140984858e+01 2.625424978608667516e+03
7.786111645837351602e+01 2.685775790493626118e+03
8.076719826699115856e+01 2.758103025250517931e+03
8.230199705683408240e+01 2.857856600168683599e+03
8.310525205825081230e+01 2.897486067923150131e+03
8.699616737661952470e+01 2.965219448048373124e+03
9.007585121072801826e+01 3.043912949207618112e+03
9.195807403062705987e+01 3.082137318034646796e+03
9.720298760764647739e+01 3.177938106130995948e+03
9.840864342940723475e+01 3.197739635378142793e+03
1.027470496685852055e+02 3.332555282121414621e+03
1.036577857318016243e+02 3.359340081762270984e+03
1.086073224231664796e+02 3.432026926250156976e+03
1.140893293353355773e+02 3.529107141832706930e+03
1.148018412399836166e+02 3.542057802910119335e+03
1.213496701515142888e+02 3.646768605548106279e+03
1.262463492562472140e+02 3.707453522240922211e+03
1.282709605249133347e+02 3.768401685726904361e+03
1.336201443546615621e+02 3.894812786114095616e+03
1.355870130791498411e+02 3.933621172383960584e+03
1.428004887328418420e+02 4.091640407054595471e+03
1.433203434393473970e+02 4.099945873336572731e+03
1.514947514300776277e+02 4.270558428540715795e+03
1.528218915332226402e+02 4.298414876404143797e+03
1.601353943208602004e+02 4.355965154002325107e+03
1.692688642492876454e+02 4.417527702329194653e+03
1.789232700600492478e+02 4.493932904930516088e+03
1.813794702277159558e+02 4.515638866464530111e+03
1.891283238117199801e+02 4.662807931539578021e+03
1.939030135426701520e+02 4.743840452502620792e+03
1.999154322175423317e+02 4.841531791007992979e+03
2.093958977976878373e+02 4.983574396510487531e+03
2.113177933016192185e+02 5.007566555169742060e+03
2.233704985679812012e+02 5.147486564907150751e+03
2.361106409969603703e+02 5.233183481573740210e+03
2.363850680219873652e+02 5.235423495841356271e+03
