# P[GPa] T[K]
4.000000000000000711e+01 1.550205752402967619e+03
4.002628615405151180e+01 1.550000000000000000e+03
5.000000000000000000e+01 1.539506954636353385e+03
5.096470285159877278e+01 1.550000000000000000e+03
5.206708639891711243e+01 1.600000000000000000e+03
5.355484411794017774e+01 1.650000000000000000e+03
5.758929140158240045e+01 1.700000000000000000e+03
6.000000000000000000e+01 1.709443956497672616e+03
6.417116601028891409e+01 1.750000000000000000e+03
6.619572603827819535e+01 1.800000000000000000e+03
6.970580947365397151e+01 1.850000000000000000e+03
7.000000000000000000e+01 1.851709059454733961e+03
7.611915302388629812e+01 1.900000000000000000e+03
7.920882885264992979e+01 1.950000000000000000e+03
8.000000000000000000e+01 1.956471159410548808e+03
8.621662030119539111e+01 2.000000000000000000e+03
9.000000000000000000e+01 2.040495229428570156e+03
9.116910196832951385e+01 2.050000000000000000e+03
9.859502430474123003e+01 2.100000000000000000e+03
1.000000000000000000e+02 2.111740044459413184e+03
1.062776564319006525e+02 2.150000000000000000e+03
1.100000000000000000e+02 2.179106439909051460e+03
1.157162634125933351e+02 2.200000000000000000e+03
1.200000000000000000e+02 2.225205404551963056e+03
1.222237531755556148e+02 2.250000000000000000e+03
1.300000000000000000e+02 2.292834678002044711e+03
1.317709315146155404e+02 2.300000000000000000e+03
1.400000000000000000e+02 2.326677234043079807e+03
1.455587486514575346e+02 2.350000000000000000e+03
1.500000000000000000e+02 2.370928173261144366e+03
1.600000000000000000e+02 2.397916564502711481e+03
1.607074672882389166e+02 2.400000000000000000e+03
1.700000000000000000e+02 2.425968704421754410e+03
1.800000000000000000e+02 2.444700829617973795e+03
1.842262433363817991e+02 2.450000000000000000e+03
1.900000000000000000e+02 2.456664133444668551e+03
2.000000000000000000e+02 2.468792727667861527e+03
2.100000000000000000e+02 2.472414942615163000e+03
2.200000000000000000e+02 2.475692913364505330e+03
2.300000000000000000e+02 2.476364682083519256e+03
2.400000000000000000e+02 2.474343163463875499e+03
2.500000000000000000e+02 2.471753550596945388e+03
2.600000000000000000e+02 2.462600275363546643e+03
2.700000000000000000e+02 2.456512018121946767e+03
2.800000000000000000e+02 2.452170063967118949e+03
2.863675050457727025e+02 2.450000000000000000e+03
2.900000000000000000e+02 2.447986901781688175e+03
3.000000000000000000e+02 2.442327083429336199e+03
3.100000000000000000e+02 2.428091327179562541e+03
3.200000000000000000e+02 2.417619583632903414e+03
3.300000000000000000e+02 2.409593326889116724e+03
3.400000000000000000e+02 2.403245476819390660e+03
3.460722158365497307e+02 2.400000000000000000e+03
3.500000000000000000e+02 2.397438585582319774e+03
3.600000000000000000e+02 2.386972829830647242e+03
3.700000000000000000e+02 2.376893402325527404e+03
3.800000000000000000e+02 2.367705865503712175e+03
3.900000000000000000e+02 2.359745071418088628e+03
4.000000000000000000e+02 2.352506919580941030e+03
4.022231261449020963e+02 2.350000000000000000e+03
4.100000000000000000e+02 2.341627487764980287e+03
4.200000000000000000e+02 2.332005503324030087e+03
4.300000000000000000e+02 2.324563681324333629e+03
4.400000000000000000e+02 2.318139747336367691e+03
4.500000000000000000e+02 2.311243161248233264e+03
4.558019294330242701e+02 2.300000000000000000e+03
4.600000000000000000e+02 2.290433085308893169e+03
4.700000000000000000e+02 2.273302694295171023e+03
4.800000000000000000e+02 2.261272050280949770e+03
4.900000000000000000e+02 2.252358907084444127e+03
4.931651796252409667e+02 2.250000000000000000e+03
5.000000000000000000e+02 2.241637457380043088e+03
5.100000000000000000e+02 2.218521583774255305e+03
5.157783168082098655e+02 2.200000000000000000e+03
5.200000000000000000e+02 2.191008145750059612e+03
5.300000000000000000e+02 2.172639107252986378e+03
5.400000000000000000e+02 2.154083433539878570e+03
5.422407183966930688e+02 2.150000000000000000e+03
5.500000000000000000e+02 2.138029507432353057e+03
5.600000000000000000e+02 2.122119191343179409e+03
5.700000000000000000e+02 2.103291663012776098e+03
5.715783307226774923e+02 2.100000000000000000e+03
5.774937425475037571e+02 2.050000000000000000e+03
5.800000000000000000e+02 2.028446232303222587e+03
5.829088191016851397e+02 2.000000000000000000e+03
5.900000000000000000e+02 1.984245669504910438e+03
6.000000000000000000e+02 1.966487705324400395e+03
6.100000000000000000e+02 1.958325855146238155e+03
6.169842401950795647e+02 1.950000000000000000e+03
6.200000000000000000e+02 1.936836386863505595e+03
6.265555620201193960e+02 1.900000000000000000e+03
6.300000000000000000e+02 1.885480416928406839e+03
6.361511448073777046e+02 1.849999999999999773e+03
6.385400131113734687e+02 1.800000000000000000e+03
6.400000000000000000e+02 1.790196079842675772e+03
6.441280775462917063e+02 1.750000000000000000e+03
6.500000000000000000e+02 1.740847613997204917e+03
6.600000000000000000e+02 1.738343851584145341e+03
6.700000000000000000e+02 1.734384799180023947e+03
6.800000000000000000e+02 1.727181834362824702e+03
6.900000000000000000e+02 1.709981083829466570e+03
