# P[GPa] T[K]
3.496837505687710745e+01 1.724841875284385424e+03
3.595455482217656140e+01 1.700000000000000000e+03
3.782599560365057556e+01 1.650000000000000000e+03
3.909965708376081039e+01 1.600000000000000000e+03
4.000000000000000000e+01 1.590210684928312276e+03
4.481840964394291404e+01 1.550000000000000000e+03
4.627718032649229229e+01 1.500000000000000000e+03
4.939178273914193085e+01 1.450000000000000000e+03
4.999999999999999289e+01 1.440652034051615829e+03
5.366378099942674851e+01 1.400000000000000000e+03
5.629590428006632408e+01 1.350000000000000000e+03
6.000000000000000000e+01 1.301338457011009268e+03
6.079104651933059245e+01 1.350000000000000000e+03
6.131566797243355182e+01 1.400000000000000000e+03
7.000000000000000000e+01 1.435778108888407132e+03
7.193642820082523315e+01 1.450000000000000000e+03
7.659909435134487410e+01 1.550000000000000000e+03
7.870702919409681897e+01 1.600000000000000000e+03
8.000000000000000000e+01 1.487886259396623245e+03
8.000000000000000000e+01 1.534409945171907111e+03
8.000000000000000000e+01 1.605272187076667478e+03
8.211780070830042177e+01 1.500000000000000000e+03
9.000000000000000000e+01 1.632556683752458866e+03
9.292049129257269158e+01 1.650000000000000000e+03
1.000000000000000000e+02 1.684860568594873712e+03
1.029435059210379535e+02 1.700000000000000000e+03
1.039589808776034658e+02 1.750000000000000000e+03
1.100000000000000000e+02 1.781476970131142480e+03
1.142777860875761178e+02 1.800000000000000000e+03
1.200000000000000000e+02 1.826894150698944941e+03
1.300000000000000000e+02 1.844577784183996755e+03
1.320065537844305936e+02 1.850000000000000000e+03
1.400000000000000000e+02 1.882732742028425037e+03
1.500000000000000000e+02 1.893750272536343346e+03
1.599999999999999716e+02 1.895639848739739364e+03
1.699999999999999716e+02 1.898854006780273039e+03
1.739556462687054648e+02 1.899999999999999773e+03
1.800000000000000000e+02 1.904171595492246979e+03
1.900000000000000000e+02 1.919693370160303402e+03
1.928903528151217301e+02 1.950000000000000000e+03
2.000000000000000000e+02 1.963571042810328208e+03
2.076216542934956806e+02 1.950000000000000000e+03
2.100000000000000000e+02 1.922525627970278038e+03
2.200000000000000000e+02 1.904185748041882334e+03
2.300000000000000000e+02 1.906849326947640066e+03
2.400000000000000000e+02 1.914150336076060285e+03
2.500000000000000000e+02 1.919377394303807250e+03
2.600000000000000000e+02 1.923391661120218032e+03
2.700000000000000000e+02 1.929159737591113753e+03
2.800000000000000000e+02 1.938152213489742280e+03
2.879958552431376120e+02 1.950000000000000000e+03
2.900000000000000000e+02 1.956523154705904290e+03
3.000000000000000000e+02 1.977365062003617822e+03
3.100000000000000000e+02 1.970547340034157969e+03
3.200000000000000000e+02 1.961671483072326737e+03
3.297446906319999584e+02 1.950000000000000000e+03
3.300000000000000000e+02 1.949817342679393732e+03
3.399999999999999432e+02 1.943661142679888144e+03
3.500000000000000000e+02 1.938979377374832666e+03
3.599999999999999432e+02 1.939624873273047797e+03
3.700000000000000000e+02 1.940332975639133110e+03
3.800000000000000000e+02 1.941113256965679511e+03
3.900000000000000000e+02 1.941977346052766052e+03
4.000000000000000000e+02 1.942939511498577758e+03
4.100000000000000000e+02 1.941294963107540752e+03
4.200000000000000000e+02 1.939507566232112367e+03
4.300000000000000000e+02 1.937557863708494324e+03
4.400000000000000000e+02 1.935422696666113552e+03
4.500000000000000000e+02 1.933074280259635998e+03
4.600000000000000000e+02 1.923183421199154509e+03
4.700000000000000000e+02 1.911339691453903924e+03
4.780238851725843006e+02 1.900000000000000000e+03
4.800000000000000568e+02 1.898536471728772312e+03
4.900000000000000000e+02 1.891449898664898228e+03
5.000000000000000000e+02 1.884856141277433835e+03
5.100000000000000568e+02 1.881290837343020939e+03
5.200000000000000000e+02 1.877624659452552351e+03
5.300000000000000000e+02 1.873853265099554164e+03
5.400000000000000000e+02 1.869972058895657483e+03
5.500000000000000000e+02 1.865976173890716382e+03
5.600000000000000000e+02 1.862656927474345594e+03
5.700000000000000000e+02 1.858996741247402724e+03
5.800000000000000000e+02 1.854940241342914760e+03
5.900000000000000000e+02 1.850419376115417208e+03
5.908730398645730020e+02 1.850000000000000000e+03
6.000000000000000000e+02 1.843362443173872634e+03
6.100000000000000000e+02 1.832151044066857594e+03
6.200000000000000000e+02 1.821050235660343787e+03
6.300000000000000000e+02 1.810058389663564412e+03
6.392375973576336037e+02 1.800000000000000227e+03
6.400000000000000000e+02 1.799329661531357033e+03
6.500000000000000000e+02 1.790398447057683825e+03
6.600000000000000000e+02 1.783962433499368899e+03
6.700000000000000000e+02 1.776859514714379202e+03
6.800000000000000000e+02 1.768980368751150309e+03
6.900000000000000000e+02 1.760190398563007648e+03
