# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 1000 100 513.922 0.060207
0.707107 1000 100 456.48 0.0638556
0.5 1000 100 423.975 0.0171975
0.25 1000 100 397.269 0.00863286
1 1000 10 549.35 0.118929
0.707107 1000 10 480.646 0.127216
0.5 1000 10 438.348 0.0483414
0.25 1000 10 401.38 0.0148445
1 1000 125 520.362 0.0772067
0.707107 1000 125 459.604 0.0335112
0.5 1000 125 425.468 0.028589
0.25 1000 125 397.62 0.0088291
1 1000 150 527.023 0.101157
0.707107 1000 150 463.052 0.0433032
0.5 1000 150 427.236 0.0202815
0.25 1000 150 398.079 0.0124192
1 1000 15 548.228 0.205219
0.707107 1000 15 480.063 0.157343
0.5 1000 15 437.989 0.0929104
0.25 1000 15 401.28 0.0229855
1 1000 175 533.268 0.0847288
0.707107 1000 175 466.405 0.0577095
0.5 1000 175 428.998 0.0206949
0.25 1000 175 398.513 0.00989896
1 1000 200 538.709 0.143521
0.707107 1000 200 469.345 0.0748379
0.5 1000 200 430.421 0.0490208
0.25 1000 200 398.919 0.0153561
1 1000 20 546.252 0.262865
0.707107 1000 20 481.328 0.145202
0.5 1000 20 437.564 0.0769619
0.25 1000 20 401.301 0.0288364
1 1000 225 540.659 0.296136
0.707107 1000 225 470.568 0.0813124
0.5 1000 225 431.291 0.0447635
0.25 1000 225 399.124 0.0264091
1 1000 250 543.141 0.13845
0.707107 1000 250 471.672 0.0696372
0.5 1000 250 431.971 0.0416854
0.25 1000 250 399.37 0.0233567
1 1000 300 551.159 0.147921
0.707107 1000 300 476.505 0.0720648
0.5 1000 300 434.359 0.0378997
0.25 1000 300 399.945 0.00682728
1 1000 30 546.83 0.15019
0.707107 1000 30 479.366 0.146484
0.5 1000 30 437.753 0.083449
0.25 1000 30 401.208 0.02514
1 1000 350 561.276 0.179492
0.707107 1000 350 482.181 0.0749572
0.5 1000 350 437.567 0.038694
0.25 1000 350 400.788 nan
1 1000 400 569.703 0.172022
0.707107 1000 400 487.145 0.0778985
0.5 1000 400 440.218 0.0315181
0.25 1000 400 401.535 0.0164432
1 1000 450 578.863 0.206902
0.707107 1000 450 492.591 0.0919597
0.5 1000 450 443.304 0.0390434
0.25 1000 450 402.375 0.0125241
1 1000 500 587.569 0.212237
0.707107 1000 500 497.925 0.104191
0.5 1000 500 446.312 0.036771
0.25 1000 500 403.219 0.0143106
1 1000 50 520.572 0.279472
0.707107 1000 50 463.686 0.158201
0.5 1000 50 429.03 0.1305
0.25 1000 50 398.743 0.0268363
1 1000 550 596.122 0.189229
0.707107 1000 550 503.253 0.131443
0.5 1000 550 449.263 0.0651168
0.25 1000 550 404.015 0.0213417
1 1000 600 604.044 0.206354
0.707107 1000 600 508.128 0.136809
0.5 1000 600 452.116 0.0606283
0.25 1000 600 404.817 0.000263004
1 1000 60 513.961 0.0656819
0.707107 1000 60 458.624 0.0550035
0.5 1000 60 425.892 0.0494029
0.25 1000 60 397.925 0.0163316
1 1000 700 618.028 0.196911
0.707107 1000 700 516.996 0.18153
0.5 1000 700 457.27 0.0675512
0.25 1000 700 406.314 0.0163099
1 1000 75 510.951 0.0776073
0.707107 1000 75 455.787 0.0420412
0.5 1000 75 423.986 0.0304487
0.25 1000 75 397.325 0.0134964
1 1000 800 629.936 0.208612
0.707107 1000 800 524.59 0.14781
0.5 1000 800 461.675 0.0472184
0.25 1000 800 407.601 0.0159932
1 1125 100 551.609 0.0686826
0.707107 1125 100 498.564 0.0430739
0.5 1125 100 468.837 0.0266993
0.25 1125 100 444.72 0.00910524
1 1125 20 584.057 0.294443
0.707107 1125 20 519.475 0.14331
0.5 1125 20 481.05 0.0837977
0.25 1125 20 448.237 0.0345099
1 1125 250 577.983 0.154781
0.707107 1125 250 512.189 0.0767546
0.5 1125 250 475.817 0.0308738
0.25 1125 250 446.501 0.0115199
1 1125 30 583.843 0.172883
0.707107 1125 30 520.06 0.134739
0.5 1125 30 481.313 0.100532
0.25 1125 30 448.238 0.0355349
1 1125 400 602.917 0.144317
0.707107 1125 400 526.014 0.0876312
0.5 1125 400 483.217 0.0456736
0.25 1125 400 448.455 0.00976023
1 1125 50 561.588 0.473946
0.707107 1125 50 505.793 0.584696
0.5 1125 50 477.857 0.164895
0.25 1125 50 447.482 0.0220008
1 1125 600 635.049 nan
0.707107 1125 600 545.203 0.125216
0.5 1125 600 493.871 0.0640855
0.25 1125 600 451.322 0.019423
1 1250 100 591.176 0.0676645
0.707107 1250 100 541.733 0.0467214
0.5 1250 100 514.404 0.0238771
0.25 1250 100 492.411 0.00874632
1 1250 125 595.786 0.0853077
0.707107 1250 125 543.818 0.0397734
0.5 1250 125 515.415 0.0255181
0.25 1250 125 492.631 0.00465982
1 1250 150 601.286 0.0820139
0.707107 1250 150 546.544 0.0380879
0.5 1250 150 516.728 0.0313438
0.25 1250 150 492.971 0.0121302
1 1250 200 610.359 0.153158
0.707107 1250 200 551.32 0.0566236
0.5 1250 200 519.19 0.0504101
0.25 1250 200 493.605 0.0160162
1 1250 20 621.613 0.1515
0.707107 1250 20 561.432 0.12132
0.5 1250 20 525.594 0.0593394
0.25 1250 20 495.502 0.0254307
1 1250 250 614.988 0.0977468
0.707107 1250 250 553.967 0.0961711
0.5 1250 250 520.511 0.031339
0.25 1250 250 493.985 0.0260665
1 1250 300 622.563 0.0968802
0.707107 1250 300 558.001 0.038154
0.5 1250 300 522.657 0.032053
0.25 1250 300 494.474 0.0207317
1 1250 30 622.076 0.135247
0.707107 1250 30 561.677 0.109079
0.5 1250 30 525.731 0.0618594
0.25 1250 30 495.591 0.0248785
1 1250 400 638.107 0.102628
0.707107 1250 400 566.474 0.0840056
0.5 1250 400 527.232 0.0467104
0.25 1250 400 495.663 0.00815381
1 1250 50 612.738 0.130987
0.707107 1250 50 556.219 0.0960058
0.5 1250 50 522.893 0.0605712
0.25 1250 50 494.743 0.0192128
1 1250 600 667.797 0.15129
0.707107 1250 600 584.008 0.0578515
0.5 1250 600 536.767 0.0627655
0.25 1250 600 498.259 0.0203657
1 1250 75 590.33 0.0730813
0.707107 1250 75 542.043 0.0550542
0.5 1250 75 514.853 0.031734
0.25 1250 75 492.575 0.0118306
1 1375 100 632.086 0.0494038
0.707107 1375 100 585.848 0.0468021
0.5 1375 100 560.511 0.0264672
0.25 1375 100 540.243 0.0071669
1 1375 250 653.588 0.0601969
0.707107 1375 250 596.734 0.0601523
0.5 1375 250 565.959 0.0254469
0.25 1375 250 541.582 0.0133822
1 1375 30 661.091 0.139836
0.707107 1375 30 603.918 0.0703199
0.5 1375 30 570.623 0.0381267
0.25 1375 30 543.009 0.0284275
1 1375 400 674.896 0.0442993
0.707107 1375 400 608.181 0.0311576
0.5 1375 400 571.947 0.0543584
0.25 1375 400 543.133 0.0118228
1 1375 50 652.479 0.125693
0.707107 1375 50 598.967 0.103227
0.5 1375 50 567.978 0.0500267
0.25 1375 50 542.273 0.0166148
1 1375 600 702.38 0.183406
0.707107 1375 600 623.991 0.0555582
0.5 1375 600 580.466 0.0348784
0.25 1375 600 545.436 0.0173913
1 1375 75 632.648 0.16576
0.707107 1375 75 587.023 0.233839
0.5 1375 75 561.304 0.068912
0.25 1375 75 540.726 0.0481026
1 1500 100 674.164 0.0666482
0.707107 1500 100 630.664 0.0563739
0.5 1500 100 607.057 0.0236722
0.25 1500 100 588.212 0.00691502
1 1500 125 677.301 0.0382787
0.707107 1500 125 631.956 0.0308603
0.5 1500 125 607.608 0.0236675
0.25 1500 125 588.317 0.0106207
1 1500 150 681.527 0.0305381
0.707107 1500 150 634 0.0301869
0.5 1500 150 608.597 0.024224
0.25 1500 150 588.564 0.00613936
1 1500 175 685.697 0.0515444
0.707107 1500 175 636.122 0.0426565
0.5 1500 175 609.643 0.0242887
0.25 1500 175 588.843 0.00803822
1 1500 200 688.969 0.0394931
0.707107 1500 200 637.777 0.0657172
0.5 1500 200 610.481 0.0318416
0.25 1500 200 589.034 0.0128027
1 1500 20 701.815 0.140896
0.707107 1500 20 647.042 0.125512
0.5 1500 20 616.002 0.0764789
0.25 1500 20 590.682 0.0217414
1 1500 250 693.658 0.0443137
0.707107 1500 250 640.27 0.0456826
0.5 1500 250 611.777 0.0175471
0.25 1500 250 589.35 0.00728232
1 1500 300 700.149 0.0823339
0.707107 1500 300 643.664 0.0397183
0.5 1500 300 613.527 0.0293016
0.25 1500 300 589.822 nan
1 1500 30 701.27 0.130095
0.707107 1500 30 646.986 0.102684
0.5 1500 30 616.161 0.0703982
0.25 1500 30 590.654 0.0141733
1 1500 350 706.543 0.0394746
0.707107 1500 350 647.064 0.0238782
0.5 1500 350 615.275 0.0185703
0.25 1500 350 590.255 0.00747552
1 1500 400 713.419 0.0692967
0.707107 1500 400 650.766 0.041489
0.5 1500 400 617.221 0.0293824
0.25 1500 400 590.755 0.00735682
1 1500 40 696.842 0.167529
0.707107 1500 40 644.552 0.0862283
0.5 1500 40 614.658 0.05108
0.25 1500 40 590.29 0.0181156
1 1500 450 720.372 0.0974716
0.707107 1500 450 654.54 0.0850695
0.5 1500 450 619.167 0.0417803
0.25 1500 450 591.297 0.00589292
1 1500 500 726.885 0.112076
0.707107 1500 500 658.218 nan
0.5 1500 500 621.167 0.0263391
0.25 1500 500 591.793 0.0170468
1 1500 50 693.077 0.105584
0.707107 1500 50 642.36 0.0638966
0.5 1500 50 613.585 0.0419219
0.25 1500 50 589.998 0.0199607
1 1500 550 733.374 0.107686
0.707107 1500 550 661.843 0.0910343
0.5 1500 550 623.109 0.00978702
0.25 1500 550 592.319 0.013498
1 1500 600 738.757 0.271739
0.707107 1500 600 665.113 0.0353163
0.5 1500 600 624.911 0.0331225
0.25 1500 600 592.747 0.0239205
1 1500 60 689.915 0.095319
0.707107 1500 60 640.755 0.069142
0.5 1500 60 612.725 0.0401695
0.25 1500 60 589.759 0.0135255
1 1500 700 747.725 0.547618
0.707107 1500 700 670.458 0.190587
