# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 1000 100 511.036 0.0620361
0.707107 1000 100 454.724 0.0140866
0.5 1000 100 423.026 0.0727706
0.25 1000 100 396.977 0.00915547
1 1000 10 549.405 0.13037
0.707107 1000 10 480.243 0.0964959
0.5 1000 10 437.879 0.0574131
0.25 1000 10 401.256 0.0191684
1 1000 125 517.226 0.0697237
0.707107 1000 125 457.797 0.0451942
0.5 1000 125 424.491 0.028425
0.25 1000 125 397.353 0.00752383
1 1000 150 524.653 0.0801981
0.707107 1000 150 461.62 0.057953
0.5 1000 150 426.556 0.0108767
0.25 1000 150 397.873 0.00185787
1 1000 15 547.827 0.297563
0.707107 1000 15 479.593 0.117715
0.5 1000 15 437.772 0.0759106
0.25 1000 15 401.243 0.0153163
1 1000 175 531.889 0.0880178
0.707107 1000 175 465.601 0.023139
0.5 1000 175 428.598 0.0124154
0.25 1000 175 398.397 0.00785415
1 1000 200 538.383 0.0613716
0.707107 1000 200 469.251 0.0540977
0.5 1000 200 430.533 0.00983819
0.25 1000 200 398.917 0.0163292
1 1000 20 549.244 0.267603
0.707107 1000 20 480.447 0.10203
0.5 1000 20 438.407 0.0385326
0.25 1000 20 401.417 0.0152145
1 1000 225 544.712 0.0517545
0.707107 1000 225 472.693 nan
0.5 1000 225 432.288 0.0470086
0.25 1000 225 399.379 0.00529885
1 1000 250 550.115 0.100221
0.707107 1000 250 475.731 0.0362396
0.5 1000 250 433.971 0.0226749
0.25 1000 250 399.842 0.0220091
1 1000 300 560.433 0.0619785
0.707107 1000 300 481.467 0.113855
0.5 1000 300 437.036 0.0330409
0.25 1000 300 400.648 0.0180831
1 1000 30 533.253 0.191496
0.707107 1000 30 471.795 0.199195
0.5 1000 30 434.038 0.122333
0.25 1000 30 400.104 0.0287784
1 1000 350 569.958 0.107624
0.707107 1000 350 486.869 0.0705517
0.5 1000 350 439.95 0.0203888
0.25 1000 350 401.404 0.0162048
1 1000 400 578.406 0.103157
0.707107 1000 400 491.769 0.0668603
0.5 1000 400 442.704 0.0255656
0.25 1000 400 402.152 nan
1 1000 450 586.355 0.0774359
0.707107 1000 450 496.576 0.0839034
0.5 1000 450 445.293 nan
0.25 1000 450 402.86 0.00775335
1 1000 500 594.207 0.119042
0.707107 1000 500 501.391 0.104189
0.5 1000 500 447.9 0.0393207
0.25 1000 500 403.592 0.00532655
1 1000 50 513.222 nan
0.707107 1000 50 458.159 0.0445785
0.5 1000 50 425.45 0.0478562
0.25 1000 50 397.798 0.00563225
1 1000 550 601.47 0.119803
0.707107 1000 550 505.69 0.162534
0.5 1000 550 450.414 0.0647693
0.25 1000 550 404.306 nan
1 1000 600 608.715 0.112782
0.707107 1000 600 510.118 0.141534
0.5 1000 600 453.008 0.0290083
0.25 1000 600 405.02 0.0194108
1 1000 60 510.298 0.0559388
0.707107 1000 60 455.891 0.0553007
0.5 1000 60 424.068 0.0239165
0.25 1000 60 397.352 0.0043831
1 1000 75 508.569 0.05938
0.707107 1000 75 454.197 0.0119235
0.5 1000 75 422.958 0.0306355
0.25 1000 75 397.105 0.00815868
1 1125 100 549.117 0.0710145
0.707107 1125 100 497.079 0.0542031
0.5 1125 100 467.992 0.0237296
0.25 1125 100 444.492 0.00506144
1 1125 20 583.905 0.372049
0.707107 1125 20 521.341 0.135045
0.5 1125 20 482.2 0.0961505
0.25 1125 20 448.431 0.0314702
1 1125 250 584.885 0.0417687
0.707107 1125 250 515.789 0.0208598
0.5 1125 250 477.739 nan
0.25 1125 250 446.967 0.00638309
1 1125 30 576.698 0.302085
0.707107 1125 30 517.419 0.393254
0.5 1125 30 480.237 0.100762
0.25 1125 30 447.89 0.110902
1 1125 400 611.571 0.177665
0.707107 1125 400 530.705 0.053571
0.5 1125 400 485.636 0.0546725
0.25 1125 400 449.055 0.0121729
1 1125 50 552.261 0.0598692
0.707107 1125 50 500.552 0.043758
0.5 1125 50 470.428 0.0381008
0.25 1125 50 445.269 0.0102472
1 1125 600 640.295 0.0524152
0.707107 1125 600 547.652 0.0715695
0.5 1125 600 495.097 0.054036
0.25 1125 600 451.629 0.0211191
1 1250 100 589.132 0.0595873
0.707107 1250 100 540.448 0.0132716
0.5 1250 100 513.648 0.0155858
0.25 1250 100 492.214 0.0047469
1 1250 125 593.81 0.0371703
0.707107 1250 125 542.637 0.0485315
0.5 1250 125 514.746 0.0161705
0.25 1250 125 492.456 0.00370659
1 1250 150 599.814 0.0557054
0.707107 1250 150 545.711 0.042687
0.5 1250 150 516.229 nan
0.25 1250 150 492.837 0.0071851
1 1250 200 611.342 0.0929315
0.707107 1250 200 551.791 0.0336238
0.5 1250 200 519.471 0.0159558
0.25 1250 200 493.658 0.00979743
1 1250 20 621.648 0.0970446
0.707107 1250 20 561.2 0.0875123
0.5 1250 20 525.586 0.0533001
0.25 1250 20 495.472 0.0158219
1 1250 250 621.292 0.110342
0.707107 1250 250 557.169 nan
0.5 1250 250 522.238 nan
0.25 1250 250 494.376 0.00577566
1 1250 300 630.384 0.107348
0.707107 1250 300 562.184 0.0129182
0.5 1250 300 524.764 0.031059
0.25 1250 300 495.048 0.0141982
1 1250 30 620.056 0.139571
0.707107 1250 30 560.47 0.064322
0.5 1250 30 525.056 0.0739635
0.25 1250 30 495.344 0.0144025
1 1250 400 646.44 0.122512
0.707107 1250 400 570.872 0.0412542
0.5 1250 400 529.44 0.0476739
0.25 1250 400 496.243 0.0122963
1 1250 50 592.985 0.133184
0.707107 1250 50 544.315 0.108241
0.5 1250 50 516.017 0.0559296
0.25 1250 50 493 0.0186749
1 1250 600 673.76 0.109839
0.707107 1250 600 586.694 0.0641816
0.5 1250 600 538.181 0.0468538
0.25 1250 600 498.609 nan
1 1250 75 587.867 0.161647
0.707107 1250 75 540.35 0.0325173
0.5 1250 75 513.778 0.0257421
0.25 1250 75 492.366 nan
1 1375 100 630.213 0.0354598
0.707107 1375 100 584.643 nan
0.5 1375 100 559.845 0.018662
0.25 1375 100 540.058 nan
1 1375 250 659.588 0.0581024
0.707107 1375 250 599.655 0.037807
0.5 1375 250 567.427 0.0245322
0.25 1375 250 541.988 0.00445677
1 1375 30 659.779 0.124971
0.707107 1375 30 602.943 0.0752639
0.5 1375 30 570.186 0.0513459
0.25 1375 30 542.862 0.0244101
1 1375 400 683.26 0.107135
0.707107 1375 400 612.539 0.0356341
0.5 1375 400 574.143 0.0537124
0.25 1375 400 543.708 0.0103399
1 1375 50 634.564 0.158781
0.707107 1375 50 589.216 0.0698419
0.5 1375 50 562.755 0.0843316
0.25 1375 50 540.905 0.00240115
1 1375 600 708.891 0.102313
0.707107 1375 600 627.134 0.0930785
0.5 1375 600 581.972 0.0307879
0.25 1375 600 545.767 0.0282943
1 1375 75 629.327 0.062301
0.707107 1375 75 584.827 0.062901
0.5 1375 75 560.085 0.0469097
0.25 1375 75 540.143 0.0100682
1 1500 100 672.507 nan
0.707107 1500 100 629.556 0.0330236
0.5 1500 100 606.413 0.0621271
0.25 1500 100 588.04 nan
1 1500 125 676.092 0.018238
0.707107 1500 125 631.214 0.025113
0.5 1500 125 607.14 0.032871
0.25 1500 125 588.186 0.00611771
1 1500 150 680.888 0.0541725
0.707107 1500 150 633.525 0.0350997
0.5 1500 150 608.33 0.0230821
0.25 1500 150 588.509 0.0124662
1 1500 175 686.015 0.0561135
0.707107 1500 175 636.127 nan
0.5 1500 175 609.58 nan
0.25 1500 175 588.818 0.00545508
1 1500 200 690.575 0.0688058
0.707107 1500 200 638.485 0.0449271
0.5 1500 200 610.825 0.0221616
0.25 1500 200 589.139 0.00542236
1 1500 20 701.112 0.122582
0.707107 1500 20 646.767 0.0891152
0.5 1500 20 615.897 0.0445605
0.25 1500 20 590.575 0.0180117
1 1500 250 699.36 0.0766076
0.707107 1500 250 643.055 0.0272055
0.5 1500 250 613.134 0.022307
0.25 1500 250 589.741 0.0134528
1 1500 300 707.142 0.0498748
0.707107 1500 300 647.213 nan
0.5 1500 300 615.258 0.0165164
0.25 1500 300 590.258 0.00935945
1 1500 30 700.101 0.0959058
0.707107 1500 30 646.371 0.0604158
0.5 1500 30 615.652 0.0482002
0.25 1500 30 590.526 0.0152071
1 1500 350 714.552 0.0825268
0.707107 1500 350 651.152 0.0199861
0.5 1500 350 617.32 nan
0.25 1500 350 590.784 0.00236065
1 1500 400 721.701 0.104728
0.707107 1500 400 654.929 0.0368993
0.5 1500 400 619.301 0.0199275
0.25 1500 400 591.297 0.0169031
1 1500 40 694.874 0.107403
0.707107 1500 40 643.504 0.0921268
0.5 1500 40 614.042 0.04458
0.25 1500 40 590.135 0.0168746
1 1500 450 728.56 0.0969657
0.707107 1500 450 658.541 0.0597993
0.5 1500 450 621.201 0.0586885
0.25 1500 450 591.769 0.00841655
1 1500 500 735.156 0.208451
0.707107 1500 500 662.054 0.0252694
0.5 1500 500 622.983 0.0309675
0.25 1500 500 592.247 0.00253869
1 1500 50 680.047 0.164873
0.707107 1500 50 635.22 0.172697
0.5 1500 50 609.896 0.128931
0.25 1500 50 589.152 0.0327299
1 1500 550 741.221 0.231587
0.707107 1500 550 665.496 0.151213
0.5 1500 550 624.891 0.0576853
0.25 1500 550 592.751 0.0164535
1 1500 600 746.41 0.225354
0.707107 1500 600 668.463 0.0134696
0.5 1500 600 626.484 0.0413648
0.25 1500 600 593.221 0.00571217
1 1500 60 674.903 0.172745
0.707107 1500 60 632.053 0.0793363
0.5 1500 60 607.768 0.0464398
0.25 1500 60 588.43 0.0107447
1 1500 75 672.113 0.0582279
0.707107 1500 75 629.848 0.0818992
0.5 1500 75 606.697 0.0446093
0.25 1500 75 588.112 0.0129477
1 1625 100 715.558 0.089404
0.707107 1625 100 675.271 0.042888
0.5 1625 100 653.42 0.0175744
0.25 1625 100 636.204 0.0171919
1 1625 250 739.212 0.00945147
0.707107 1625 250 687.149 0.0558244
0.5 1625 250 659.489 0.0364972
0.25 1625 250 637.752 0.0253606
1 1625 30 738.034 0.119278
0.707107 1625 30 688.914 0.0896381
0.5 1625 30 660.976 0.0688963
0.25 1625 30 638.206 0.0433114
1 1625 400 759.557 0.0828834
0.707107 1625 400 698.034 0.0587218
0.5 1625 400 665.111 0.0541049
0.25 1625 400 639.222 0.0129647
1 1625 40 736.156 0.072225
0.707107 1625 40 687.716 0.0517338
0.5 1625 40 660.378 0.0786771
0.25 1625 40 638.083 0.0311236
1 1625 50 730.188 0.362312
0.707107 1625 50 685.01 0.113553
0.5 1625 50 658.749 0.110407
0.25 1625 50 637.698 0.0141033
1 1625 600 781.673 0.242535
0.707107 1625 600 710.466 0.14577
0.5 1625 600 671.578 0.0584143
0.25 1625 600 640.971 0.0212481
1 1625 75 715.48 0.0788827
0.707107 1625 75 675.748 0.0786774
0.5 1625 75 653.755 0.0270985
0.25 1625 75 636.341 0.0143699
1 1750 100 759.893 0.113293
0.707107 1750 100 721.096 0.0566665
0.5 1750 100 700.566 nan
0.25 1750 100 684.181 0.00515878
1 1750 125 762.13 0.0332332
0.707107 1750 125 722.099 0.0305128
0.5 1750 125 700.88 0.0188157
0.25 1750 125 684.291 0.00446008
1 1750 150 765.967 0.0440739
0.707107 1750 150 724.061 0.0428337
0.5 1750 150 701.813 0.0161713
0.25 1750 150 684.518 0.00644795
1 1750 200 773.935 0.0694851
0.707107 1750 200 728.091 0.0563867
0.5 1750 200 703.867 0.0234398
0.25 1750 200 685.029 0.000474101
1 1750 250 781.251 0.0519791
0.707107 1750 250 731.851 0.056338
0.5 1750 250 705.768 0.0131662
0.25 1750 250 685.524 0.0101351
1 1750 300 787.898 0.0940581
0.707107 1750 300 735.332 0.0640865
0.5 1750 300 707.49 0.0552442
0.25 1750 300 685.972 0.00755638
1 1750 30 780.243 0.114712
0.707107 1750 30 733.474 0.0724526
0.5 1750 30 707.559 0.0665277
0.25 1750 30 685.968 0.010972
1 1750 400 800.413 0.0810592
