# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 1000 100 515.631 0.110733
0.707107 1000 100 459.136 0.0567183
0.5 1000 100 426.112 0.073377
0.25 1000 100 397.967 0.028036
1 1000 10 549.467 0.22612
0.707107 1000 10 480.28 0.0979051
0.5 1000 10 438.297 0.0372666
0.25 1000 10 401.375 0.0121186
1 1000 125 515.732 0.0644203
0.707107 1000 125 458.096 0.038125
0.5 1000 125 425.055 0.034692
0.25 1000 125 397.614 0.013175
1 1000 150 519.301 0.0600096
0.707107 1000 150 459.31 0.025255
0.5 1000 150 425.534 0.0127064
0.25 1000 150 397.681 0.0129626
1 1000 15 548.136 0.242137
0.707107 1000 15 479.72 0.110958
0.5 1000 15 438.022 0.0612761
0.25 1000 15 401.325 0.0153162
1 1000 175 524.045 0.0936289
0.707107 1000 175 461.705 0.0158393
0.5 1000 175 426.649 0.0220974
0.25 1000 175 397.972 nan
1 1000 200 529.308 0.057617
0.707107 1000 200 464.312 0.0238418
0.5 1000 200 427.973 0.0244247
0.25 1000 200 398.279 0.00590588
1 1000 20 550.141 0.580306
0.707107 1000 20 479.367 0.25615
0.5 1000 20 438.842 0.0562758
0.25 1000 20 401.5 0.00978577
1 1000 225 534.36 0.0565992
0.707107 1000 225 467.073 0.074022
0.5 1000 225 429.388 0.0691573
0.25 1000 225 398.633 0.0209559
1 1000 250 539.75 0.0378212
0.707107 1000 250 470.004 0.0595382
0.5 1000 250 430.923 0.0196485
0.25 1000 250 399.034 0.00789659
1 1000 300 550.29 0.064959
0.707107 1000 300 475.942 0.0540202
0.5 1000 300 434.117 0.0316266
0.25 1000 300 399.889 0.00803541
1 1000 30 546.986 0.202671
0.707107 1000 30 478.955 0.137346
0.5 1000 30 437.8 0.0555713
0.25 1000 30 401.203 0.0164597
1 1000 350 560.321 0.117124
0.707107 1000 350 481.807 0.0684091
0.5 1000 350 0 nan
0.25 1000 350 400.732 0.0139996
1 1000 400 566.133 0.161622
0.707107 1000 400 485.308 0.0428019
0.5 1000 400 439.409 0.018039
0.25 1000 400 401.329 0.0308255
1 1000 450 579.45 0.11052
0.707107 1000 450 493.074 0.0729841
0.5 1000 450 443.625 0.0290821
0.25 1000 450 402.511 0.0121588
1 1000 500 588.011 0.134916
0.707107 1000 500 498.407 nan
0.5 1000 500 446.595 0.0357379
0.25 1000 500 403.346 0.010077
1 1000 50 536.822 0.152736
0.707107 1000 50 473.451 0.14623
0.5 1000 50 434.453 0.0580222
0.25 1000 50 400.407 0.0146316
1 1000 550 596.3 0.203356
0.707107 1000 550 503.529 0.0936178
0.5 1000 550 449.563 0.036357
0.25 1000 550 404.136 0.0123427
1 1000 600 603.862 0.135107
0.707107 1000 600 508.178 0.113865
0.5 1000 600 452.206 0.0491387
0.25 1000 600 404.887 0.0134943
1 1000 60 532.394 0.171783
0.707107 1000 60 470.904 0.122215
0.5 1000 60 432.959 0.0872529
0.25 1000 60 399.932 0.0222781
1 1000 700 617.542 0.173005
0.707107 1000 700 516.671 0.140301
0.5 1000 700 457.271 0.0792068
0.25 1000 700 406.294 0.0138325
1 1000 75 524.453 0.0352058
0.707107 1000 75 465.726 0.119348
0.5 1000 75 429.961 0.119877
0.25 1000 75 399.229 0.0224226
1 1000 800 617.494 0.114879
0.707107 1000 800 522.565 0.760657
0.5 1000 800 457.162 0.0408601
0.25 1000 800 406.238 0.0141035
1 1125 100 556.14 0.107632
0.707107 1125 100 502.545 0.102633
0.5 1125 100 471.719 0.0593433
0.25 1125 100 445.6 0.0182718
1 1125 20 583.596 0.160896
0.707107 1125 20 519.326 0.0826142
0.5 1125 20 481.131 0.0582264
0.25 1125 20 448.264 0.0155912
1 1125 250 574.906 0.099716
0.707107 1125 250 510.827 0.0712967
0.5 1125 250 475.379 0.0499616
0.25 1125 250 446.342 0.0245477
1 1125 30 583.866 0.157805
0.707107 1125 30 519.841 0.200589
0.5 1125 30 481.348 0.055329
0.25 1125 30 448.27 0.0196219
1 1125 400 603.323 0.0931532
0.707107 1125 400 526.558 0.0666004
0.5 1125 400 483.46 0.0420903
0.25 1125 400 448.532 0.00864814
1 1125 50 574.543 0.168677
0.707107 1125 50 514.518 0.077487
0.5 1125 50 478.259 0.0456401
0.25 1125 50 447.413 0.0201649
1 1125 600 635.075 0.0904269
0.707107 1125 600 545.432 0.0333449
0.5 1125 600 493.972 0.0412853
0.25 1125 600 451.403 0.0119434
1 1250 100 597.676 0.137144
0.707107 1250 100 546.899 0.122145
0.5 1250 100 517.6 0.0707511
0.25 1250 100 493.316 0.020062
1 1250 125 595.155 0.125738
0.707107 1250 125 544.438 0.0927246
0.5 1250 125 516.011 0.0479587
0.25 1250 125 492.917 0.0307325
1 1250 150 597.077 0.0758032
0.707107 1250 150 544.922 0.0602335
0.5 1250 150 516.071 0.029355
0.25 1250 150 492.861 0.0127783
1 1250 200 604.416 0.0897887
0.707107 1250 200 548.367 0.0533195
0.5 1250 200 517.788 0.0184834
0.25 1250 200 493.259 0.00778738
1 1250 20 622.051 0.252537
0.707107 1250 20 561.457 0.0837707
0.5 1250 20 525.655 0.073672
0.25 1250 20 495.513 0.0149631
1 1250 250 612.704 0.0670782
0.707107 1250 250 552.757 0.0453883
0.5 1250 250 519.988 0.0217305
0.25 1250 250 493.816 0.0123321
1 1250 300 621.467 0.0728147
0.707107 1250 300 557.403 0.0417156
0.5 1250 300 522.389 0.0217337
0.25 1250 300 494.435 0.00809399
1 1250 30 622.222 0.138786
0.707107 1250 30 561.502 0.0953936
0.5 1250 30 525.611 0.0605125
0.25 1250 30 495.514 0.0222316
1 1250 400 638.463 0.0803126
0.707107 1250 400 566.911 0.0414903
0.5 1250 400 527.43 0.0300994
0.25 1250 400 495.767 0.00987471
1 1250 50 613.326 0.0797904
0.707107 1250 50 556.249 0.120638
0.5 1250 50 522.849 0.0507328
0.25 1250 50 494.808 0.0172167
1 1250 600 668.073 0.101029
0.707107 1250 600 584.123 0.0596511
0.5 1250 600 536.892 nan
0.25 1250 600 498.3 0.00465102
1 1250 75 605.125 0.159266
0.707107 1250 75 551.442 0.0705284
0.5 1250 75 520.352 0.0365692
0.25 1250 75 494.091 0.0202014
1 1375 100 640.23 0.123057
0.707107 1375 100 591.672 0.0794244
0.5 1375 100 564.078 0.0526048
0.25 1375 100 541.253 0.0201228
1 1375 250 651.785 0.0748913
0.707107 1375 250 0 nan
0.5 1375 250 565.48 0.0267602
0.25 1375 250 541.502 0.00466846
1 1375 30 657.297 0.101936
0.707107 1375 30 601.645 0.0785754
0.5 1375 30 569.493 0.0214213
0.25 1375 30 542.702 0.0217188
1 1375 400 675.39 0.111736
0.707107 1375 400 608.541 0.0658786
0.5 1375 400 572.184 0.045038
0.25 1375 400 543.22 0.0104496
1 1375 50 652.619 0.0968181
0.707107 1375 50 598.987 0.0513471
0.5 1375 50 567.986 0.0409188
0.25 1375 50 542.295 0.0130094
1 1375 600 0 nan
0.707107 1375 600 624.117 0.109867
0.5 1375 600 580.659 0.0547678
0.25 1375 600 545.481 0.0106668
1 1375 75 645.551 0.0661516
0.707107 1375 75 595.027 0.045132
0.5 1375 75 565.914 0.0620297
0.25 1375 75 541.739 0.0163509
1 1500 100 682.932 0.085432
0.707107 1500 100 636.452 0.0672198
0.5 1500 100 610.311 0.043778
0.25 1500 100 589.163 0.0258395
1 1500 125 680.151 0.0982782
0.707107 1500 125 634.731 0.128411
0.5 1500 125 609.042 0.0737812
0.25 1500 125 588.797 0.0145925
1 1500 150 680.36 0.10855
0.707107 1500 150 634.208 0.0532584
0.5 1500 150 608.892 0.0316529
0.25 1500 150 588.691 0.02721
1 1500 175 682.628 0.0599963
0.707107 1500 175 634.981 0.0567315
0.5 1500 175 609.115 0.0247979
0.25 1500 175 588.73 0.0115553
1 1500 200 685.476 0.0736624
0.707107 1500 200 636.261 0.0210778
0.5 1500 200 609.821 0.0357758
0.25 1500 200 588.893 0.0112356
1 1500 20 701.441 0.151484
