# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 1000 10 549.158 0.160348
0.707107 1000 10 480.353 0.116079
0.5 1000 10 438.07 0.103833
0.25 1000 10 401.302 0.0246343
1 1000 15 548.126 0.225333
0.707107 1000 15 479.433 0.126947
0.5 1000 15 437.844 0.0844987
0.25 1000 15 401.278 0.028072
1 1000 20 545.92 0.199822
0.707107 1000 20 478.607 0.105546
0.5 1000 20 437.438 0.111453
0.25 1000 20 401.094 0.0292648
1 1000 25 543.119 0.151929
0.707107 1000 25 477.134 0.1434
0.5 1000 25 436.421 0.0808658
0.25 1000 25 400.917 0.0284375
1 1000 30 540.129 0.229737
0.707107 1000 30 475.43 0.107602
0.5 1000 30 435.63 0.088194
0.25 1000 30 400.631 0.0356224
1 1000 40 534.645 0.133109
0.707107 1000 40 471.859 0.195221
0.5 1000 40 433.838 0.074983
0.25 1000 40 400.142 0.0203149
1 1100 10 579.103 0.236738
0.707107 1100 10 512.914 0.096247
0.5 1100 10 473.181 0.0486164
0.25 1100 10 438.866 0.0198317
1 1100 15 577.808 0.185078
0.707107 1100 15 512.231 0.119155
0.5 1100 15 472.699 0.0737128
0.25 1100 15 438.866 0.0261759
1 1100 30 570.643 0.226094
0.707107 1100 30 508.326 0.0952019
0.5 1100 30 470.804 0.0589123
0.25 1100 30 438.394 0.0442431
1 1125 20 583.281 0.0949677
0.707107 1125 20 519.339 0.137138
0.5 1125 20 481.113 0.0810793
0.25 1125 20 448.159 0.0356132
1 1125 25 581.101 0.199391
0.707107 1125 25 518.164 0.108529
0.5 1125 25 480.489 0.093366
0.25 1125 25 448.018 0.0200932
1 1125 40 573.019 0.165924
0.707107 1125 40 513.598 0.143665
0.5 1125 40 478.1 0.0476953
0.25 1125 40 447.369 0.025914
1 1250 10 625.127 0.200679
0.707107 1250 10 562.759 0.0862012
0.5 1250 10 526.232 0.0663247
0.25 1250 10 495.665 0.016267
1 1250 15 623.539 0.137183
0.707107 1250 15 562.115 0.134813
0.5 1250 15 525.953 0.0776188
0.25 1250 15 495.552 0.0149537
1 1250 20 621.32 0.194006
0.707107 1250 20 561.233 0.113077
0.5 1250 20 525.416 0.0657791
0.25 1250 20 495.366 0.0236501
1 1250 25 619.462 0.128949
0.707107 1250 25 560.068 0.0754031
0.5 1250 25 524.835 0.0650188
0.25 1250 25 495.306 0.0269222
1 1250 30 616.82 0.117721
0.707107 1250 30 558.87 0.113325
0.5 1250 30 524.182 0.0459869
0.25 1250 30 495.125 0.0255354
1 1250 40 612.203 0.159748
0.707107 1250 40 555.968 0.0727066
0.5 1250 40 522.603 0.0426868
0.25 1250 40 494.802 0.0276528
1 1250 50 607.4 0.100591
0.707107 1250 50 553.053 0.0873822
0.5 1250 50 521.302 0.0447861
0.25 1250 50 494.395 0.0239127
1 1250 60 603.861 0.133314
0.707107 1250 60 550.824 0.0748838
0.5 1250 60 520.069 0.0376434
0.25 1250 60 493.998 0.030911
1 1375 10 664.094 0.132917
0.707107 1375 10 605.008 0.0899479
0.5 1375 10 571.278 0.0497986
0.25 1375 10 543.12 0.0183374
1 1375 15 662.848 0.15079
0.707107 1375 15 604.593 0.0863547
0.5 1375 15 570.844 0.0610205
0.25 1375 15 543.124 0.0176476
1 1375 20 661.106 0.143967
0.707107 1375 20 603.586 0.0671704
0.5 1375 20 570.423 0.0765089
0.25 1375 20 542.979 0.0190709
1 1375 25 658.931 0.12316
0.707107 1375 25 602.601 0.0940501
0.5 1375 25 569.893 0.0621252
0.25 1375 25 542.856 0.0260914
1 1375 30 656.935 0.15627
0.707107 1375 30 601.52 0.111886
0.5 1375 30 569.377 0.0594304
0.25 1375 30 542.707 0.0270244
1 1375 40 652.302 0.12303
0.707107 1375 40 598.97 0.0639256
0.5 1375 40 568.144 0.0461848
0.25 1375 40 542.319 0.0153626
1 1375 50 648.314 0.103832
0.707107 1375 50 596.421 0.0525391
0.5 1375 50 566.737 0.0497572
